MAINTENANCE_AGENCY_ID,MEMBER_HIERARCHY_ID,CODE,DOMAIN_ID,NAME,DESCRIPTION,IS_MAIN_HIERARCHY
ECB,TYP_INSTRMNT_HIER_22,22,TYP_INSTRMNT,Loans hierarchy according to AnaCredit,Hierarchical structure of the member Loans (119) according to AnaCredit,false
ECB,TYP_INSTRMNT_HIER_12,12,TYP_INSTRMNT,Over the counter (OTC) Derivative instrument hierarchy,Hierarchical structure of the member Over the counter (OTC) Derivative instrument (1),false
ECB,TYP_INSTRMNT_HIER_16,16,TYP_INSTRMNT,"Derivatives, Equity instruments, Debt securities, Loans and advances, Short positions, Deposits, Debt securities issued, Other financial liabilities hierarchy","Hierarchical structure of the member Derivatives, Equity instruments, Debt securities, Loans and advances, Short positions, Deposits, Debt securities issued, Other financial liabilities (1665)",false
ECB,TYP_INSTRMNT_HIER_18,18,TYP_INSTRMNT,"Debt securities, Equity instruments hierarchy","Hierarchical structure of the member Debt securities, Equity instruments (213)",false
ECB,TYP_INSTRMNT_HIER_14,14,TYP_INSTRMNT,"Equity instruments, Debt securities, Loans and advances, Tangible assets. Real Estate, and others hierarchy","Hierarchical structure of the member Equity instruments, Debt securities, Loans and advances, Tangible assets. Real Estate, and others (467)",false
ECB,TYP_INSTRMNT_HIER_10,10,TYP_INSTRMNT,Currency and deposits hierarchy,Hierarchical structure of the member Currency and deposits (1013),false
ECB,TYP_INSTRMNT_HIER_24,24,TYP_INSTRMNT,"Loans and advances hierarchy - CRE, RRE","Hierarchical structure of the member Loans and advances (149) - Breakdown by CRE, RRE",false
ECB,TYP_INSTRMNT_HIER_20,20,TYP_INSTRMNT,Financial guarantees hierarchy,Hierarchical structure of the member Financial guarantees (1010),false
ECB,TYP_INSTRMNT_HIER_61,61,TYP_INSTRMNT,Type of Instrument hierarchy for BIRD Data Models and FINREP,Type of Instrument hierarchy for connecting BIRD Data Models and Finrep,false
ECB,TYP_INSTRMNT_HIER_21,21,TYP_INSTRMNT,Securities financial transaction (SFT) hierarchy,Hierarchical structure of the member Securities financial transaction (SFT) (16),false
ECB,TYP_INSTRMNT_HIER_19,19,TYP_INSTRMNT,Loan (excluding repurchase agreement) and advance hierarchy,Hierarchical structure of the member Loan (excluding repurchase agreement) and advance (15),false
ECB,TYP_INSTRMNT_HIER_11,11,TYP_INSTRMNT,Loans and advances hierarchy - On demand [call] and short notice [current account],Hierarchical structure of the member Loans and advances (149) - On demand [call] and short notice [current account],false
ECB,ACCNTNG_CLSSFCTN_HIER_4,4,ACCNTNG_CLSSFCTN,Accounting portfolios for debt instruments subject to impairment hierarchy,Hierarchical structure of the Member Accounting portfolios for debt instruments subject to impairment (19),false
ECB,ACCNTNG_CLSSFCTN_HIER_9,9,ACCNTNG_CLSSFCTN,Accounting portfolios for financial assets measured at cost based methods hierarchy,Hierarchical structure of the member Accounting portfolios for financial assets measured at cost based methods (53),false
ECB,ACCNTNG_CLSSFCTN_HIER_1,1,ACCNTNG_CLSSFCTN,Accounting classification main hierarchy,Hierarchical structure of the Member Accounting portfolios for financial assets other than classified as held for sale (71),true
ECB,ACCNTNG_CLSSFCTN_HIER_5,5,ACCNTNG_CLSSFCTN,Accounting portfolios for trading financial instruments hierarchy,Hierarchical structure of the Member Accounting portfolios for trading financial instruments (38),false
ECB,ACCNTNG_CLSSFCTN_HIER_7,7,ACCNTNG_CLSSFCTN,All types of accounting portfolios for financial assets in accordance to Regulation (EU) No 680/2014 hierarchy,Hierarchical structure of the member All types of accounting portfolios for financial assets in accordance to Regulation (EU) No 680/2014 (50),false
ECB,ACCNTNG_CLSSFCTN_HIER_3,3,ACCNTNG_CLSSFCTN,Accounting portfolios for financial liabilities other than classified as held for sale hierarchy,Hierarchical structure of the Member Accounting portfolios for financial liabilities other than classified as held for sale (72),false
ECB,CRDT_QLTY_TCHNCL_HRRCHY,CRDT_QLTY_TCHNCL_HRRCHY,CRDT_QLTY,Credit quality - technical hierarchy for default status,Credit quality - technical hierarchy for default status,false
ECB,ACCNTNG_CLSSFCTN_HIER_2,2,ACCNTNG_CLSSFCTN,Flat Hierarchy - Measurement for Intangible assets. Other than Goodwill,Hierarchical structure of the Member Measurement for Intangible assets. Other than Goodwill (70),false
ECB,ACCNTNG_CLSSFCTN_HIER_6,6,ACCNTNG_CLSSFCTN,Financial assets and liabilities designated at fair value through profit or loss hierarchy,Hierarchical structure of the Member Financial assets and liabilities designated at fair value through profit or loss (39),false
ECB,ACCNTNG_CLSSFCTN_HIER_13,13,ACCNTNG_CLSSFCTN,Flat Hierarchy - Off balance sheet: measured under IAS 37 or IFRS 4,Hierarchical structure of the Member Off balance sheet: measured under IAS 37 or IFRS 4 (91),false
ECB,ACCNTNG_CLSSFCTN_HIER_15,15,ACCNTNG_CLSSFCTN,"Accounting portfolios for financial assets excluding financial assets held for trading, trading financial assets and cash and cash balances at central banks and other demand deposits hierarchy","Hierarchical structure of the member Accounting portfolios for financial assets excluding financial assets held for trading, trading financial assets and cash and cash balances at central banks and other demand deposits (712)",false
ECB,ACCNTNG_CLSSFCTN_HIER_11,11,ACCNTNG_CLSSFCTN,"Flat Hierarchy - Investments in subsidiaries, joint ventures and associates","Hierarchical structure of the Member Investments in subsidiaries, joint ventures and associates (83)",false
ECB,ACCNTNG_CLSSFCTN_HIER_10,10,ACCNTNG_CLSSFCTN,Flat Hierarchy - Accounting portfolios for financial assets at fair value or strict LOCOM not subject to impairment,Hierarchical structure of the Member Accounting portfolios for financial assets at fair value or strict LOCOM not subject to impairment (63),false
ECB,ACCNTNG_CLSSFCTN_HIER_14,14,ACCNTNG_CLSSFCTN,"Accounting portfolios for financial assets other than classified as held for sale, excluding financial assets held for trading, trading financial assets and cash and cash balances at central banks and other demand deposits hierarchy","Hierarchical structure of the member Accounting portfolios for financial assets other than classified as held for sale, excluding financial assets held for trading, trading financial assets and cash and cash balances at central banks and other demand deposits (711)",false
ECB,CRDT_QLTY_TCHNCL_HRRCHY_2,CRDT_QLTY_TCHNCL_HRRCHY_2,CRDT_QLTY,Credit quality - technical hierarchy for purpose,Credit quality - technical hierarchy for purpose,false
ECB,IMPRMNT_ASSSSMNT_MTHD_HIER_1,1,IMPRMNT_ASSSSMNT_MTHD,Impairment assessment method main hierarchy,Hierarchical structure of the member All types of impairment assessment method (-1),true
